path,filename,class_name,label_index,width,height,aspect_ratio,bytes,sha256
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard1.jpg,cardboard1.jpg,cardboard,0,512,384,1.3333,17333,9573fd98a5aca2ab9a4c5b9ebcdfa4dcf9719b216c2025ee4305c4df611c885f
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard10.jpg,cardboard10.jpg,cardboard,0,512,384,1.3333,21683,f460e7a993aabafef6839fa1fce1034c40713411beff3211e8c93d1514fb1924
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard100.jpg,cardboard100.jpg,cardboard,0,512,384,1.3333,14884,13277fa7ae788f6f342a7d41ada36d4adcd20c58e504f2302b619f3b79087b92
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard101.jpg,cardboard101.jpg,cardboard,0,512,384,1.3333,14289,2f3dafed35830c61c3464c876f7cfb82ad3b635078f6306bca02a03f8e90d00f
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard102.jpg,cardboard102.jpg,cardboard,0,512,384,1.3333,18015,5a88bce0103f59145f02b7fc0f50aa6dc3fbf29a1ffcaeeea0ea6661a58e0278
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard103.jpg,cardboard103.jpg,cardboard,0,512,384,1.3333,21104,df9c4036aa2bf59a9c833b02fcef925a767866751dca3b169e71054438def7ae
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard104.jpg,cardboard104.jpg,cardboard,0,512,384,1.3333,17225,8c5fc72fb93efeb74d912c8ead8dfde62894aabd5aa5ceb67cb261d7efa13e09
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard105.jpg,cardboard105.jpg,cardboard,0,512,384,1.3333,24417,61bc3fa9aeffc93cd85e7cf6af5f5419f2ecf14f1844a3ec28631d09bf2eec5e
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard106.jpg,cardboard106.jpg,cardboard,0,512,384,1.3333,26388,2c0f7b6223c9143f9ed4202b398f2e65febeb1b1edf50e65c2fdd7ac83da4260
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard107.jpg,cardboard107.jpg,cardboard,0,512,384,1.3333,25368,f684a75b78c3b036ef269ae3065dc465b3ebee2816aafb2c1c33ca2f97e035b4
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard108.jpg,cardboard108.jpg,cardboard,0,512,384,1.3333,25560,99bcaeaf983807a7517bd9c795c9176189806c05194163201cf64aace1531143
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard109.jpg,cardboard109.jpg,cardboard,0,512,384,1.3333,16635,5c0111570535a620d024fe6acb97e12e6d82834c44076447ad50bb9e0ea31835
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard11.jpg,cardboard11.jpg,cardboard,0,512,384,1.3333,20452,f78d1a1c78d94c7b215b9310f701ea48256c42c105e2455a3c698ef495552523
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard110.jpg,cardboard110.jpg,cardboard,0,512,384,1.3333,17368,b4618ec2441a57414e3080c66e35137ee240aa6588342f61b98ff55a2920b923
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard111.jpg,cardboard111.jpg,cardboard,0,512,384,1.3333,24881,6e3a26fd8d05780baf6107b104a2d077f4046fe5cda9f00aa12c8a34630dbd0e
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard112.jpg,cardboard112.jpg,cardboard,0,512,384,1.3333,19018,6e6f1d82b3b218ef2c6376bf266efa908814c54fd0b2a44c5c600ffff5596079
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard113.jpg,cardboard113.jpg,cardboard,0,512,384,1.3333,20142,4a2125f33133fc44e1b6a596c7a3c98fbac109b5c12bb8d6b69f92e04d2a31da
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard114.jpg,cardboard114.jpg,cardboard,0,512,384,1.3333,16470,c64e75b62eaae06b8903dbaa196d044498c126746ab424ea29c09534b0ebbeed
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard115.jpg,cardboard115.jpg,cardboard,0,512,384,1.3333,16303,448e75e25fc89c0af92631d09fe6a6b3c86d121478ba1b9fd8f57a6ccb2a98e1
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard116.jpg,cardboard116.jpg,cardboard,0,512,384,1.3333,15247,9537b0fd18ac7a43bd2f9cbfdbfd28d1e2460b4dd9d2bbc634745477f917c8ca
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard117.jpg,cardboard117.jpg,cardboard,0,512,384,1.3333,21221,17b467e667f6ec479e92721a9f9022c2d7f127bae2afd95cf25c0ac5c8d49935
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard118.jpg,cardboard118.jpg,cardboard,0,512,384,1.3333,15835,a6b2370bb703f31cbf1e79ab9ef3e7f716a4579493b058a61fca85e37ae7157e
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard119.jpg,cardboard119.jpg,cardboard,0,512,384,1.3333,26115,9eca298b852c5d86700d995a32ed4b4b0ec29498b090649fb0ca3749658e66dc
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard12.jpg,cardboard12.jpg,cardboard,0,512,384,1.3333,25517,25d47a740100c9ffbc37f5efe9f49113f9edc75208fdeed383b3ee88f1de2167
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard120.jpg,cardboard120.jpg,cardboard,0,512,384,1.3333,26389,ad5db05d8cd20a051b84b0354659e462dfd9709febbc88c9d2d1acac5ff7b3f6
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard121.jpg,cardboard121.jpg,cardboard,0,512,384,1.3333,12179,b73b7ce6a180a0c33e20ae591d0e727e70a4a53b5f07f87350c245a69f0a3d6f
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard122.jpg,cardboard122.jpg,cardboard,0,512,384,1.3333,21298,cf30fceb14b4638f56b5be8c0bac37051cdc971cc24055762abb7d75b6086ba5
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard123.jpg,cardboard123.jpg,cardboard,0,512,384,1.3333,16097,b07444b5c289f4c8562828a1c3f397d0d3f2fa4a99324273ed9b3f58a1871d3c
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard124.jpg,cardboard124.jpg,cardboard,0,512,384,1.3333,18424,abb69d945dbc094ff1bc3106dea049b049db52d5f2c840bedccbce030b4e5271
