timestamp,event,epoch,child_pid,child_rss_mb,swap_used_mb,free_plus_inactive_gb,memory_pressure,checkpoint_state
2026-08-06T22:58:28+03:00,supervisor_start,,,,2016.69,2.29,56% free,
2026-08-06T22:58:28+03:00,child_start,0,85468,2.5,2016.69,2.29,56% free,fresh
2026-08-06T22:58:44+03:00,poll,0,85468,359.4,2016.69,2.28,56% free,training
2026-08-06T22:58:59+03:00,poll,0,85468,462.4,2296.19,1.01,24% free,training
2026-08-06T22:58:59+03:00,swap_warning,,85468,462.4,2296.19,1.02,24% free,training
2026-08-06T22:59:14+03:00,poll,0,85468,466.2,2349.5,1.02,24% free,training
2026-08-06T22:59:14+03:00,swap_warning,,85468,466.2,2349.5,1.01,24% free,training
2026-08-06T22:59:29+03:00,poll,0,85468,483.4,2388.31,1.1,26% free,training
2026-08-06T22:59:29+03:00,swap_warning,,85468,483.4,2388.31,1.1,26% free,training
2026-08-06T22:59:44+03:00,poll,0,85468,520.0,2388.31,1.14,27% free,training
2026-08-06T22:59:44+03:00,swap_warning,,85468,520.6,2388.31,1.14,27% free,training
2026-08-06T22:59:59+03:00,poll,0,85468,504.3,2388.31,1.1,26% free,training
2026-08-06T22:59:59+03:00,swap_warning,,85468,504.3,2388.31,1.1,26% free,training
2026-08-06T23:00:14+03:00,poll,0,85468,502.5,2388.31,1.1,26% free,training
2026-08-06T23:00:14+03:00,swap_warning,,85468,503.2,2388.31,1.1,26% free,training
2026-08-06T23:00:29+03:00,poll,0,85468,488.5,2388.31,1.09,26% free,training
2026-08-06T23:00:29+03:00,swap_warning,,85468,488.5,2388.31,1.08,25% free,training
2026-08-06T23:00:44+03:00,poll,0,85468,528.2,2390.38,1.08,26% free,training
2026-08-06T23:00:44+03:00,swap_warning,,85468,550.5,2390.38,1.08,26% free,training
2026-08-06T23:00:59+03:00,poll,0,85468,490.7,2390.38,1.05,25% free,training
2026-08-06T23:00:59+03:00,swap_warning,,85468,492.5,2390.38,1.06,25% free,training
2026-08-06T23:01:14+03:00,poll,0,85468,813.6,2390.38,1.22,29% free,training
