image_id,annotation_path,resolved_path,source,coco_width,coco_height,decoded_width,decoded_height,file_bytes,sha256,annotations,status
0,batch_1/000006.jpg,data/official_complete/TACO/data/batch_1/000006.jpg,zenodo_archive,1537,2049,1537,2049,385269,36a171b0eb7ecca818a00daf4e1a9be7296b49d6355aa6b0f8d0c7fb48b3f0b8,1,ok
1,batch_1/000008.jpg,data/official_complete/TACO/data/batch_1/000008.jpg,zenodo_archive,1537,2049,1537,2049,257143,269fc3106489aea6c5d5234b61e00f07b54efd2ae34305a480d8f933006d633e,2,ok
2,batch_1/000010.jpg,data/official_complete/TACO/data/batch_1/000010.jpg,zenodo_archive,1537,2049,1537,2049,483697,20ee67ecac44b59aaff261001623c450adef29971033e9c3a41c0269b655f0d8,2,ok
3,batch_1/000019.jpg,data/official_complete/TACO/data/batch_1/000019.jpg,zenodo_archive,2049,1537,2049,1537,595912,084595901b88880493c39518bccacfe13fe647c10a8e8b3e807b5dc80087b675,4,ok
4,batch_1/000026.jpg,data/official_complete/TACO/data/batch_1/000026.jpg,zenodo_archive,1537,2049,1537,2049,544921,1e6629a1383d00e3a5e569961082359ea605d8abd6fc04b64eb71185bead5241,1,ok
5,batch_1/000047.jpg,data/official_complete/TACO/data/batch_1/000047.jpg,zenodo_archive,2049,1537,2049,1537,314588,41ce22af163086794810584110ae7abad05cb3f88f29b11c2653be62e03b7b0e,6,ok
6,batch_1/000055.jpg,data/official_complete/TACO/data/batch_1/000055.jpg,zenodo_archive,1537,2049,1537,2049,232741,5a739e26699d1bc24f32f8b6da8d739fd75dbee474af09dd805ac618b7dd841c,1,ok
7,batch_1/000001.jpg,data/official_complete/TACO/data/batch_1/000001.jpg,zenodo_archive,2049,1537,2049,1537,785539,98e2128f47ccd9ab9d26d9af5bbbc358deb9aed46a5325cac6fd51aff3b1d672,2,ok
8,batch_1/000005.jpg,data/official_complete/TACO/data/batch_1/000005.jpg,zenodo_archive,1537,2049,1537,2049,813997,1efb530abb5307c3a998081ed8cfa101a3d0d971b236baeebc5db7360ff7982f,1,ok
9,batch_1/000007.jpg,data/official_complete/TACO/data/batch_1/000007.jpg,zenodo_archive,1537,2049,1537,2049,189722,cad4b325557460d4ae51e8d12c8dce52a6a1cdca564a88f9fbfebd5fab9447b1,3,ok
10,batch_1/000012.jpg,data/official_complete/TACO/data/batch_1/000012.jpg,zenodo_archive,1537,2049,1537,2049,857376,724833b90828f4c74848fd7cc1701133bdae9baa66d0f8a994530a6ab03d6ba0,2,ok
11,batch_1/000014.jpg,data/official_complete/TACO/data/batch_1/000014.jpg,zenodo_archive,1537,2049,1537,2049,921579,4a66867f85873dab2a1b5b80c458ea55c2bf7ae3a5c09a4453606cb923c7396a,6,ok
12,batch_1/000048.jpg,data/official_complete/TACO/data/batch_1/000048.jpg,zenodo_archive,2049,1537,2049,1537,273312,73349fe89731f6e0136f6a7bb1041f1ac1d02c9f2ac3f01f1d0ec165612ec159,10,ok
13,batch_1/000053.jpg,data/official_complete/TACO/data/batch_1/000053.jpg,zenodo_archive,1537,2049,1537,2049,295615,4529e92ddad6d4f065eaabb2a3c5a42f72dc69710fc894cfcd79a81515a26db9,4,ok
14,batch_1/000056.jpg,data/official_complete/TACO/data/batch_1/000056.jpg,zenodo_archive,1537,2049,1537,2049,252224,5aeb0606910eb7c2f1d6a654fb5b1e1166b78f703428e13ebdfb24dbf980b1d0,1,ok
15,batch_1/000058.jpg,data/official_complete/TACO/data/batch_1/000058.jpg,zenodo_archive,1537,2049,1537,2049,212997,a0d83784c90141593fd2662b8a3e8e5b613ab3070ab261ef7f4dc69a719f6338,3,ok
16,batch_1/000060.jpg,data/official_complete/TACO/data/batch_1/000060.jpg,zenodo_archive,1537,2049,1537,2049,237701,bafd8c8c2eef8b10674160f66397adbf1ff6e07e2affeb3731ad52f9c80a55a7,2,ok
17,batch_1/000003.jpg,data/official_complete/TACO/data/batch_1/000003.jpg,zenodo_archive,1537,2049,1537,2049,391439,ffa902b6277e500d4b393d2fff6ddbd5d140cb6456979e19cb541cdbf8734b19,1,ok
18,batch_1/000011.jpg,data/official_complete/TACO/data/batch_1/000011.jpg,zenodo_archive,1537,2049,1537,2049,694105,43975dee54e03155eb87a1e9dedefe14346ae62d2a04b1d910e7c861e3a9e0a6,1,ok
19,batch_1/000032.jpg,data/official_complete/TACO/data/batch_1/000032.jpg,zenodo_archive,1537,2049,1537,2049,801180,b6c28ac1cccd6c02194e645ff2b34eb6ed8c9299d9d37c2bcb3143f7daf60fa8,2,ok
20,batch_1/000040.jpg,data/official_complete/TACO/data/batch_1/000040.jpg,zenodo_archive,2049,1537,2049,1537,360777,d1e7b46f2c3136eaeda4ec3665e47d5f53c4519b5367e9738cac599a9d6c83da,4,ok
21,batch_1/000043.jpg,data/official_complete/TACO/data/batch_1/000043.jpg,zenodo_archive,2049,1537,2049,1537,291800,a9712602f5b4bc302a4ea3ba4120b789be8471804f67115ffc4dfdaf00419b10,2,ok
22,batch_1/000049.jpg,data/official_complete/TACO/data/batch_1/000049.jpg,zenodo_archive,1537,2049,1537,2049,247573,7fc6e4dfd6c08d55882ddf920bd5346dfee929fc1f954c287fdfcf9496cecec1,2,ok
23,batch_1/000054.jpg,data/official_complete/TACO/data/batch_1/000054.jpg,zenodo_archive,1537,2049,1537,2049,294193,a4d406a1fee0f98b9f4ca51d6f5acfbe96beca36d170e62026cc8a7e12620b1d,4,ok
24,batch_1/000061.jpg,data/official_complete/TACO/data/batch_1/000061.jpg,zenodo_archive,1537,2049,1537,2049,253120,5f666273f596033585b4f3f50ed1ba01a234c7000e73c3555da8005af1adccc4,1,ok
25,batch_1/000021.jpg,data/official_complete/TACO/data/batch_1/000021.jpg,zenodo_archive,2049,1537,2049,1537,484402,018680d8db74fd77ef099c91faa18851fb4b2e0abcb41b4b6f2df88965aee202,2,ok
26,batch_1/000022.jpg,data/official_complete/TACO/data/batch_1/000022.jpg,zenodo_archive,2049,1537,2049,1537,486726,a1a82306b9a6d7f81cf9030993046bddcbb1626277d592f1ff5678dfd94eec45,2,ok
27,batch_1/000023.jpg,data/official_complete/TACO/data/batch_1/000023.jpg,zenodo_archive,1537,2049,1537,2049,794034,2b81648e9fbf85a75c71bab9efc0c71801677f509f916ce1fbe094f47dcbb7dd,7,ok
28,batch_1/000024.jpg,data/official_complete/TACO/data/batch_1/000024.jpg,zenodo_archive,1537,2049,1537,2049,692839,94724cbd57744ee97bfe94505fe9c377e6449f5f4ca4dba6e33f2889106d85c2,3,ok
29,batch_1/000027.jpg,data/official_complete/TACO/data/batch_1/000027.jpg,zenodo_archive,1537,2049,1537,2049,499736,41a517fcd7bfcc8bc410407904a7acd5d779f101ae1d9d8ec338ec8c9d862aef,1,ok
30,batch_1/000028.jpg,data/official_complete/TACO/data/batch_1/000028.jpg,zenodo_archive,1537,2049,1537,2049,589211,02c8b820b9d6fce3e1394a3a0769ee23d54580e47a738b216e878acfcdb153a2,2,ok
31,batch_1/000030.jpg,data/official_complete/TACO/data/batch_1/000030.jpg,zenodo_archive,1537,2049,1537,2049,594677,cbb8ca748fd17acf1715c5433cd0880557f841c0902b46b281a1d133a8ceee40,1,ok
32,batch_1/000031.jpg,data/official_complete/TACO/data/batch_1/000031.jpg,zenodo_archive,1537,2049,1537,2049,798624,e2163cfa445e75d610779aeb1f274170ceb11b46cc3f9d98dcb7541915fbfccf,1,ok
33,batch_1/000042.jpg,data/official_complete/TACO/data/batch_1/000042.jpg,zenodo_archive,2049,1537,2049,1537,346580,860e4fcd0d327162330b9b16b3f4ad1fd11740c96952c89a22c04d8588c68037,4,ok
34,batch_1/000050.jpg,data/official_complete/TACO/data/batch_1/000050.jpg,zenodo_archive,1537,2049,1537,2049,238832,a578b0114ab72530d42c8078019a31f346fe60cc060dbf1710057cb80dd21bb2,2,ok
35,batch_1/000059.jpg,data/official_complete/TACO/data/batch_1/000059.jpg,zenodo_archive,1537,2049,1537,2049,194772,f38c3f6a6aecd751cf48159957cec0c1d96905f949efa366da751e945a15ef31,4,ok
36,batch_1/000000.jpg,data/official_complete/TACO/data/batch_1/000000.jpg,zenodo_archive,1537,2049,1537,2049,762802,ece7715e3d32d10ff47c1355157b8d979ef7ae9739d72d97f04e0744cf4cbb19,1,ok
37,batch_1/000013.jpg,data/official_complete/TACO/data/batch_1/000013.jpg,zenodo_archive,1537,2049,1537,2049,789354,ac3f0cfcce9c11d10c396acdb23f2f48f88bc3cc24ef50bf5c6599e89c54dc57,1,ok
38,batch_1/000015.jpg,data/official_complete/TACO/data/batch_1/000015.jpg,zenodo_archive,1537,2049,1537,2049,1047999,0e7dac12af6e3126bff43ec8866b63cfe15b14230562dc0d0fee97f7e9b76275,2,ok
39,batch_1/000016.jpg,data/official_complete/TACO/data/batch_1/000016.jpg,zenodo_archive,1537,2049,1537,2049,384295,d53adf06c6497fdc79ca00605a3e46809b90b97a9095c475ebba31c9f13adefd,1,ok
40,batch_1/000017.jpg,data/official_complete/TACO/data/batch_1/000017.jpg,zenodo_archive,1537,2049,1537,2049,846661,2caac941f1542f1d2c5fa2afa13be2ff094bd6a28b35a0c72acffdf6c8973fc9,1,ok
41,batch_1/000025.jpg,data/official_complete/TACO/data/batch_1/000025.jpg,zenodo_archive,1537,2049,1537,2049,538137,1c0a6c730235465d1974cca1ef516e9179566ad4f108d205cf1bb111519a024c,3,ok
42,batch_1/000029.jpg,data/official_complete/TACO/data/batch_1/000029.jpg,zenodo_archive,1537,2049,1537,2049,538275,c149fa549db453619bf2dea238bb2e8aca70c5d3af0badfc2103e67742610b1d,1,ok
43,batch_1/000035.jpg,data/official_complete/TACO/data/batch_1/000035.jpg,zenodo_archive,1537,2049,1537,2049,261677,d2509e09c8b0a6eb3ccc4f47073ff007be53c2d92362372484606c6a965cfe8c,3,ok
44,batch_1/000037.jpg,data/official_complete/TACO/data/batch_1/000037.jpg,zenodo_archive,2049,1537,2049,1537,356737,54c37805763270263f8ac16e73cdc8f74baa3bd937570e690dc46f9c33cebd1d,5,ok
45,batch_1/000045.jpg,data/official_complete/TACO/data/batch_1/000045.jpg,zenodo_archive,2049,1537,2049,1537,319262,55832550a3f7e044aeee35850f6ece981e5937c210a8526ec451836be7eff0af,6,ok
46,batch_1/000038.jpg,data/official_complete/TACO/data/batch_1/000038.jpg,zenodo_archive,2049,1537,2049,1537,393003,7fd49d5eb0ebe4615cd228c5d6fa15fdc20c07b79df41c2c5c87e34a24215cd6,6,ok
47,batch_1/000065.JPG,data/official_complete/TACO/data/batch_1/000065.JPG,zenodo_archive,3264,2448,3264,2448,770192,dca9c612eeb178adae23ae2bf5f587132cf3afb8dd17d26e9e5e7bb2e152037b,4,ok
48,batch_1/000066.JPG,data/official_complete/TACO/data/batch_1/000066.JPG,zenodo_archive,3264,2448,3264,2448,827418,305ef22eb9c10db90780b3319157c3e2fac0c599bcdfd01d05eaec55a9e3398b,1,ok
49,batch_1/000067.JPG,data/official_complete/TACO/data/batch_1/000067.JPG,zenodo_archive,2448,3264,2448,3264,601444,59091d5267f52ac972ed7d710843feb2ac4eee79875e6abea29da0a37782246c,1,ok
50,batch_1/000068.JPG,data/official_complete/TACO/data/batch_1/000068.JPG,zenodo_archive,2448,3264,2448,3264,1886103,a2933ba2e4c2524e88a693a1d301e946e355661f696dc22551a0050d3dbfafb7,3,ok
51,batch_1/000069.JPG,data/official_complete/TACO/data/batch_1/000069.JPG,zenodo_archive,2448,3264,2448,3264,1696697,9e1076c4cbadeb46507e4dc6ec0827425a55bbb74485e0c379ccc8d7853bcf20,1,ok
52,batch_1/000070.JPG,data/official_complete/TACO/data/batch_1/000070.JPG,zenodo_archive,2448,3264,2448,3264,906694,24238594bb415023d2162397b2e3d46781e3b9da33e52e5db16aef4f9462882a,1,ok
53,batch_1/000071.JPG,data/official_complete/TACO/data/batch_1/000071.JPG,zenodo_archive,2448,3264,2448,3264,1218751,1649915cc8672cc8952212ee47872bb377cc5279c96376d04423d959dade3fff,1,ok
54,batch_1/000072.JPG,data/official_complete/TACO/data/batch_1/000072.JPG,zenodo_archive,2448,3264,2448,3264,1219238,730e59f13b55319c7d0e32ed429524a8d399349b0ac2e4f134e25cf491c4573a,3,ok
