path,filename,class_name,label_index,width,height,aspect_ratio,bytes,sha256,split
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard1.jpg,cardboard1.jpg,cardboard,0,512,384,1.3333,17333,9573fd98a5aca2ab9a4c5b9ebcdfa4dcf9719b216c2025ee4305c4df611c885f,train
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard10.jpg,cardboard10.jpg,cardboard,0,512,384,1.3333,21683,f460e7a993aabafef6839fa1fce1034c40713411beff3211e8c93d1514fb1924,train
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard100.jpg,cardboard100.jpg,cardboard,0,512,384,1.3333,14884,13277fa7ae788f6f342a7d41ada36d4adcd20c58e504f2302b619f3b79087b92,train
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard102.jpg,cardboard102.jpg,cardboard,0,512,384,1.3333,18015,5a88bce0103f59145f02b7fc0f50aa6dc3fbf29a1ffcaeeea0ea6661a58e0278,train
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard103.jpg,cardboard103.jpg,cardboard,0,512,384,1.3333,21104,df9c4036aa2bf59a9c833b02fcef925a767866751dca3b169e71054438def7ae,train
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard104.jpg,cardboard104.jpg,cardboard,0,512,384,1.3333,17225,8c5fc72fb93efeb74d912c8ead8dfde62894aabd5aa5ceb67cb261d7efa13e09,train
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard105.jpg,cardboard105.jpg,cardboard,0,512,384,1.3333,24417,61bc3fa9aeffc93cd85e7cf6af5f5419f2ecf14f1844a3ec28631d09bf2eec5e,train
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard106.jpg,cardboard106.jpg,cardboard,0,512,384,1.3333,26388,2c0f7b6223c9143f9ed4202b398f2e65febeb1b1edf50e65c2fdd7ac83da4260,train
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard108.jpg,cardboard108.jpg,cardboard,0,512,384,1.3333,25560,99bcaeaf983807a7517bd9c795c9176189806c05194163201cf64aace1531143,train
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard109.jpg,cardboard109.jpg,cardboard,0,512,384,1.3333,16635,5c0111570535a620d024fe6acb97e12e6d82834c44076447ad50bb9e0ea31835,train
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard11.jpg,cardboard11.jpg,cardboard,0,512,384,1.3333,20452,f78d1a1c78d94c7b215b9310f701ea48256c42c105e2455a3c698ef495552523,train
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard112.jpg,cardboard112.jpg,cardboard,0,512,384,1.3333,19018,6e6f1d82b3b218ef2c6376bf266efa908814c54fd0b2a44c5c600ffff5596079,train
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard114.jpg,cardboard114.jpg,cardboard,0,512,384,1.3333,16470,c64e75b62eaae06b8903dbaa196d044498c126746ab424ea29c09534b0ebbeed,train
/Users/marina/MY_PROJECTS/BinSight_iOS_with_tflite/ml/trashnet_classifier/data/raw/dataset-resized/dataset-resized/cardboard/cardboard116.jpg,cardboard116.jpg,cardboard,0,512,384,1.3333,15247,9537b0fd18ac7a43bd2f9cbfdbfd28d1e2460b4dd9d2bbc634745477f917c8ca,train
