epoch,accuracy,loss,lr,top2_accuracy,val_accuracy,val_loss,val_top2_accuracy
0,0.8389830589294434,0.4463379383087158,1e-05,0.9564971923828125,0.8306878209114075,0.5108300447463989,0.9391534328460693
1,0.8435028195381165,0.4560736417770386,1e-05,0.9474576115608215,0.8333333134651184,0.49973809719085693,0.9417989253997803
2,0.8485875725746155,0.4108155071735382,1e-05,0.9627118706703186,0.8386243581771851,0.48495686054229736,0.9417989253997803
3,0.8519774079322815,0.40186455845832825,1e-05,0.9564971923828125,0.8439153432846069,0.4814813733100891,0.9417989253997803
4,0.8576270937919617,0.40138673782348633,1e-05,0.9655367136001587,0.8465608358383179,0.4778136909008026,0.9444444179534912
5,0.8542372584342957,0.3837640583515167,1e-05,0.9644067883491516,0.8439153432846069,0.48578304052352905,0.9417989253997803
6,0.8711864352226257,0.3856085240840912,1e-05,0.9610169529914856,0.841269850730896,0.4810589551925659,0.9470899701118469
7,0.8711864352226257,0.3737080693244934,1e-05,0.9604519605636597,0.8518518805503845,0.46442297101020813,0.9470899701118469
8,0.8694915175437927,0.36653876304626465,1e-05,0.9638417959213257,0.8571428656578064,0.46012118458747864,0.9417989253997803
9,0.885310709476471,0.33613845705986023,1e-05,0.9711864590644836,0.8492063283920288,0.46867677569389343,0.9417989253997803
10,0.8785310983657837,0.3422594666481018,1e-05,0.9644067883491516,0.8544973731040955,0.45397472381591797,0.9444444179534912
11,0.8807909488677979,0.3414696753025055,1e-05,0.9672316312789917,0.8624338507652283,0.4497379958629608,0.9444444179534912
12,0.8875706195831299,0.33093276619911194,1e-05,0.9689265489578247,0.8544973731040955,0.4609684944152832,0.9497354626655579
13,0.895480215549469,0.3104359209537506,1e-05,0.9745762944221497,0.8597883582115173,0.44443240761756897,0.9497354626655579
14,0.901129961013794,0.2929222583770752,1e-05,0.9745762944221497,0.8597883582115173,0.4479939639568329,0.9470899701118469
15,0.8977401256561279,0.2864815294742584,1e-05,0.9785310626029968,0.8439153432846069,0.4644315242767334,0.9470899701118469
16,0.901129961013794,0.2790234088897705,1e-05,0.9807909727096558,0.8492063283920288,0.44286221265792847,0.9523809552192688
17,0.892090380191803,0.2983379065990448,1e-05,0.9774011373519897,0.8571428656578064,0.4316082000732422,0.9497354626655579
18,0.9107344746589661,0.2612462043762207,1e-05,0.9785310626029968,0.8518518805503845,0.44001078605651855,0.9497354626655579
19,0.902259886264801,0.2717283368110657,1e-05,0.9807909727096558,0.8544973731040955,0.43683403730392456,0.9497354626655579
