epoch,accuracy,loss,lr,top2_accuracy,val_accuracy,val_loss,val_top2_accuracy
0,0.4124293923377991,1.5329073667526245,0.001,0.6514124274253845,0.6375661492347717,1.0029113292694092,0.8280423283576965
1,0.6542372703552246,0.9999236464500427,0.001,0.8412429094314575,0.7328042387962341,0.77431321144104,0.8915343880653381
2,0.698305070400238,0.864517867565155,0.001,0.8847457766532898,0.7460317611694336,0.7340210676193237,0.9126983880996704
3,0.7327683568000793,0.7651230096817017,0.001,0.8999999761581421,0.7724867463111877,0.6573157906532288,0.9232804179191589
4,0.7661017179489136,0.7113248705863953,0.001,0.9107344746589661,0.7962962985038757,0.6249502897262573,0.9259259104728699
5,0.7870056629180908,0.6502590179443359,0.001,0.9214689135551453,0.7883597612380981,0.6496989130973816,0.9285714030265808
6,0.787570595741272,0.6274029016494751,0.001,0.9248587489128113,0.7962962985038757,0.6276435852050781,0.9365079402923584
7,0.796045184135437,0.6046097278594971,0.0005,0.9327683448791504,0.817460298538208,0.5863795876502991,0.9338624477386475
0,0.5152542591094971,1.3451930284500122,0.001,0.7084745764732361,0.679894208908081,0.861578106880188,0.8809523582458496
0,0.4864406883716583,1.3899344205856323,0.001,0.6841807961463928,0.6878306865692139,0.8498416543006897,0.8915343880653381
1,0.6853107213973999,0.9103266596794128,0.001,0.8564971685409546,0.7486772537231445,0.7238273024559021,0.9100528955459595
2,0.7225988507270813,0.7834967970848083,0.001,0.8875706195831299,0.7962962985038757,0.6430906057357788,0.9232804179191589
3,0.7548022866249084,0.7060954570770264,0.001,0.9118643999099731,0.8068783283233643,0.6139540076255798,0.9232804179191589
4,0.7813559174537659,0.6406431794166565,0.001,0.9225988984107971,0.8095238208770752,0.5714650750160217,0.9312169551849365
5,0.7887005805969238,0.5969608426094055,0.001,0.9333333373069763,0.8095238208770752,0.5705257654190063,0.9417989253997803
6,0.7937853336334229,0.5769640803337097,0.001,0.9288135766983032,0.7989417910575867,0.5829387307167053,0.9259259104728699
7,0.8096045255661011,0.5477922558784485,0.001,0.9384180903434753,0.8227513432502747,0.5187462568283081,0.9417989253997803
8,0.8090395331382751,0.5344048142433167,0.001,0.9378530979156494,0.8095238208770752,0.529854416847229,0.9365079402923584
9,0.8135592937469482,0.5137860774993896,0.001,0.9491525292396545,0.8148148059844971,0.5449449419975281,0.9285714030265808
10,0.8310734629631042,0.4695127606391907,0.0005,0.9531073570251465,0.820105791091919,0.5312846302986145,0.9365079402923584
11,0.8327683806419373,0.4909505546092987,0.0005,0.9491525292396545,0.8227513432502747,0.5291064381599426,0.9417989253997803
12,0.8322033882141113,0.4849633276462555,0.00025,0.9502825140953064,0.8280423283576965,0.518324613571167,0.9365079402923584
13,0.8468926548957825,0.456731379032135,0.00025,0.9553672075271606,0.8253968358039856,0.5169933438301086,0.9391534328460693
14,0.8423728942871094,0.47078341245651245,0.00025,0.9525423645973206,0.8280423283576965,0.5129832625389099,0.9391534328460693
